playerid,BBrefMinorsID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,firstname,lastname,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debutYear,finalGame,college,lahmanID,MlbID,SeamheadsRetroID,holtzID,BBrefMLBid,Ethnicity,Arm Slot
75612,2075612,,,1982.0,7.0,2.0,South Korea,,,,,,,,,San,Song,,,,190.0,71.0,R,R,,,단국대,75612,,,,,Asian,
60757,2060757,,,1991.0,2.0,28.0,South Korea,,,,,,,,,Kyung-tae,Kim,,,,198.0,72.0,L,L,,,,60757,,,,,Asian,
70122,2070122,,,1978.0,2.0,25.0,South Korea,,,,,,,,,Seung-hwan,Choi,,,,220.0,73.0,R,R,,,연세대,70122,,,,,Asian,
90311,2090311,,,1971.0,3.0,23.0,South Korea,,,,,,,,,Min-tae,Kim,,,,,,R,R,,,,90311,,,,,Asian,
76368,2076368,,,1987.0,11.0,21.0,South Korea,,,,,,,,,Jae-shin,Yoo,,,,172.0,70.0,R,R,,,,76368,,,,,Asian,
95469,2095469,,,1976.0,8.0,17.0,South Korea,,,,,,,,,Sung-pil,Shin,,,,194.0,73.0,R,R,,,,95469,,,,,Asian,
71823,2071823,,,1982.0,7.0,9.0,South Korea,,,,,,,,,Hyung-sik,Cho,,,,201.0,72.0,R,R,,,,71823,,,,,Asian,
54319,2054319,,,2005.0,3.0,7.0,South Korea,,,,,,,,,Yoon-ha,Kim,,,,198.0,73.0,R,R,,,,54319,,,,,Asian,
79746,2079746,,,1986.0,11.0,16.0,South Korea,,,,,,,,,Yu-kang,Heo,,,,181.0,71.0,R,R,,,성균관대,79746,,,,,Asian,
75830,2075830,,,1977.0,9.0,5.0,United States,,,,,,,,,Ron,Chiavacci,,,,218.0,74.0,R,R,,,,75830,,,,,Caucasian,
94812,2094812,,,1972.0,5.0,5.0,South Korea,,,,,,,,,Ju-sung,Kim,,,,,,R,R,,,동아대,94812,,,,,Asian,
72261,2072261,,,1983.0,4.0,28.0,South Korea,,,,,,,,,Deok-gyun,Hwang,,,,185.0,71.0,R,R,,,,72261,,,,,Asian,
51713,2051713,,,2002.0,8.0,23.0,South Korea,,,,,,,,,Kyu-yeon,Kim,,,,201.0,72.0,R,R,,,,51713,,,,,Asian,
74130,2074130,,,1981.0,5.0,19.0,South Korea,,,,,,,,,Keong-soo,Min,,,,198.0,73.0,L,L,,,경성대,74130,,,,,Asian,
54400,2054400,,,1996.0,11.0,19.0,Dominican Republic,,,,,,,,,Lewin,Diaz,,,,231.0,74.0,L,L,,,,54400,,,,,Hispanic,
76653,2076653,,,1987.0,9.0,2.0,South Korea,,,,,,,,,Kyung-tae,Park,,,,218.0,73.0,L,L,,,,76653,,,,,Asian,
65522,2065522,,,1995.0,2.0,27.0,South Korea,,,,,,,,,Kang-hyun,Kim,,,,185.0,70.0,L,R,,,,65522,,,,,Asian,
67954,2067954,,,1998.0,6.0,7.0,South Korea,,,,,,,,,Jin-ho,Kim,,,,198.0,72.0,R,R,,,,67954,,,,,Asian,
75307,2075307,,,1986.0,3.0,20.0,South Korea,,,,,,,,,Hwa-joon,Cha,,,,181.0,71.0,L,R,,,,75307,,,,,Asian,
98316,2098316,,,1975.0,4.0,12.0,South Korea,,,,,,,,,Min-koo,Hong,,,,209.0,72.0,R,R,,,한양대,98316,,,,,Asian,
50904,2050904,,,2001.0,3.0,9.0,South Korea,,,,,,,,,Jong-jun,Lee,,,,205.0,75.0,R,R,,,,50904,,,,,Asian,
67005,2067005,,,1997.0,8.0,29.0,South Korea,,,,,,,,,Hyun-bin,Hong,,,,154.0,69.0,L,R,,,,67005,,,,,Asian,
66614,2066614,,,1997.0,3.0,8.0,South Korea,,,,,,,,,Kyu-sung,Kim,,,,194.0,73.0,L,R,,,,66614,,,,,Asian,
72752,2072752,,,1979.0,6.0,27.0,South Korea,,,,,,,,,Hyun-soo,Cho,,,,183.0,71.0,L,L,,,경희대,72752,,,,,Asian,
68130,2068130,,,1999.0,1.0,12.0,South Korea,,,,,,,,,Young-jun,Kim,,,,198.0,73.0,R,R,,,,68130,,,,,Asian,
54424,2054424,,,1994.0,12.0,15.0,United States,,,,,,,,,David,MacKinnon,,,,223.0,74.0,R,R,,,,54424,,,,,Caucasian,
77466,2077466,,,1989.0,2.0,4.0,South Korea,,,,,,,,,Won-je,Choi,,,,209.0,72.0,L,R,,,,77466,,,,,Asian,
76454,2076454,,,1983.0,3.0,26.0,South Korea,,,,,,,,,Hyo-nam,Kim,,,,209.0,72.0,R,R,,,건국대,76454,,,,,Asian,
51460,2051460,,,2001.0,10.0,11.0,South Korea,,,,,,,,,Jae-hee,Lee,,,,220.0,74.0,L,R,,,,51460,,,,,Asian,
75356,2075356,,,1981.0,8.0,13.0,South Korea,,,,,,,,,Sang-woo,Lee,,,,,,R,R,,,인하대,75356,,,,,Asian,
87520,2087520,,,1962.0,4.0,24.0,South Korea,,,,,,,,,Jae-sung,Lee,,,,,,R,R,,,건국대,87520,,,,,Asian,
95666,2095666,,,1973.0,2.0,13.0,South Korea,,,,,,,,,Sang-jun,An,,,,179.0,72.0,R,R,,,동아대,95666,,,,,Asian,
60845,2060845,,,1987.0,11.0,9.0,South Korea,,,,,,,,,Kwang-eun,Moon,,,,187.0,71.0,R,R,,,동의대,60845,,,,,Asian,
61204,2061204,,,1988.0,6.0,24.0,South Korea,,,,,,,,,Dong-han,Kim,,,,161.0,69.0,R,R,,,동국대,61204,,,,,Asian,
52667,2052667,,,2003.0,5.0,7.0,South Korea,,,,,,,,,Do-hyun,Yoon,,,,185.0,71.0,R,R,,,,52667,,,,,Asian,
87460,2087460,,,1964.0,3.0,15.0,South Korea,,,,,,,,,Tae-soo,Jang,,,,,,L,L,,,한양대,87460,,,,,Asian,
69508,2069508,,,1996.0,1.0,5.0,South Korea,,,,,,,,,Yoon-hoo,Shin,,,,170.0,70.0,R,R,,,동의대,69508,,,,,Asian,
93806,2093806,,,1970.0,10.0,11.0,South Korea,,,,,,,,,Hyuk-soo,Han,,,,187.0,70.0,R,R,,,경희대,93806,,,,,Asian,
72454,2072454,,,1979.0,8.0,16.0,South Korea,,,,,,,,,Oh-won,Kwon,,,,187.0,73.0,R,R,,,동아대,72454,,,,,Asian,
68249,2068249,,,1999.0,7.0,16.0,South Korea,,,,,,,,,Shin-ji,Park,,,,165.0,73.0,R,R,,,,68249,,,,,Asian,
50293,2050293,,,1997.0,5.0,25.0,South Korea,,,,,,,,,Chan-yul,Yang,,,,185.0,70.0,L,R,,,단국대,50293,,,,,Asian,
51714,2051714,,,1991.0,3.0,26.0,United States,,,,,,,,,Hernan,Perez,,,,,,R,R,,,,51714,,,,,Caucasian,
74160,2074160,,,1981.0,9.0,16.0,South Korea,,,,,,,,,Hyun-woo,Song,,,,181.0,71.0,R,R,,,건국대,74160,,,,,Asian,
95838,2095838,,,1972.0,7.0,9.0,South Korea,,,,,,,,,Sung-jin,Park,,,,,,R,R,,,건국대,95838,,,,,Asian,
50820,2050820,,,2000.0,11.0,25.0,South Korea,,,,,,,,,Ui-san,Jeon,,,,231.0,74.0,L,R,,,,50820,,,,,Asian,
96468,2096468,,,1977.0,2.0,8.0,South Korea,,,,,,,,,Gye-seong,Lee,,,,179.0,72.0,L,R,,,,96468,,,,,Asian,
66662,2066662,,,1998.0,1.0,25.0,South Korea,,,,,,,,,Beom-soo,Shin,,,,183.0,70.0,L,R,,,,66662,,,,,Asian,
64086,2064086,,,1990.0,10.0,19.0,South Korea,,,,,,,,,Seong-hyeon,Shin,,,,203.0,72.0,R,R,,,,64086,,,,,Asian,
61104,2061104,,,1988.0,3.0,23.0,South Korea,,,,,,,,,Byeong-gon,Jung,,,,161.0,68.0,R,R,,,단국대,61104,,,,,Asian,
86520,2086520,,,1963.0,2.0,22.0,South Korea,,,,,,,,,Chang-won,Lee,,,,,,R,R,,,건국대,86520,,,,,Asian,
69839,2069839,,,2000.0,10.0,29.0,South Korea,,,,,,,,,Seung-keon,Baek,,,,187.0,72.0,L,L,,,,69839,,,,,Asian,
65117,2065117,,,1996.0,10.0,20.0,South Korea,,,,,,,,,Sang-kyu,Lee,,,,170.0,73.0,R,R,,,,65117,,,,,Asian,
71708,2071708,,,1982.0,10.0,12.0,South Korea,,,,,,,,,Baek-man,Kim,,,,190.0,72.0,R,R,,,,71708,,,,,Asian,
89514,2089514,,,1966.0,12.0,14.0,South Korea,,,,,,,,,Sang-woo,Kim,,,,,,L,R,,,경성대,89514,,,,,Asian,
90212,2090212,,,1968.0,1.0,7.0,South Korea,,,,,,,,,Hyung-seok,Kang,,,,,,L,L,,,건국대,90212,,,,,Asian,
76461,2076461,,,1987.0,5.0,11.0,South Korea,,,,,,,,,Ki-tae,Kim,,,,212.0,72.0,R,R,,,,76461,,,,,Asian,
99210,2099210,,,1974.0,8.0,25.0,South Korea,,,,,,,,,Hyuk,Kang,,,,192.0,71.0,L,L,,,한양대,99210,,,,,Asian,
62893,2062893,,,1989.0,6.0,2.0,South Korea,,,,,,,,,Jung-min,Choi,,,,170.0,70.0,L,R,,,동아대,62893,,,,,Asian,
52868,2052868,,,2003.0,5.0,14.0,South Korea,,,,,,,,,Gi-sun,Lee,,,,172.0,69.0,L,L,,,,52868,,,,,Asian,
74748,2074748,,,1984.0,8.0,11.0,South Korea,,,,,,,,,Jae-won,Jeong,,,,185.0,74.0,R,R,,,,74748,,,,,Asian,
77517,2077517,,,1984.0,6.0,15.0,South Korea,,,,,,,,,Yi-sul,Kim,,,,220.0,72.0,L,L,,,경희대,77517,,,,,Asian,
97351,2097351,,,1974.0,3.0,4.0,South Korea,,,,,,,,,Man-ho,Choi,,,,161.0,67.0,R,R,,,단국대,97351,,,,,Asian,
91326,2091326,,,1965.0,11.0,22.0,South Korea,,,,,,,,,Young-jin,Jung,,,,,,R,R,,,고려대,91326,,,,,Asian,
66707,2066707,,,1997.0,3.0,3.0,South Korea,,,,,,,,,Sang-un,Park,,,,198.0,73.0,R,R,,,,66707,,,,,Asian,
93166,2093166,,,1974.0,3.0,21.0,South Korea,,,,,,,,,Seung-min,Choi,,,,183.0,73.0,R,R,,,,93166,,,,,Asian,
61156,2061156,,,1992.0,7.0,16.0,South Korea,,,,,,,,,Yoon-joon,Song,,,,187.0,73.0,L,L,,,,61156,,,,,Asian,
71562,2071562,,,1982.0,4.0,11.0,South Korea,,,,,,,,,Jong-yoon,Park,,,,198.0,74.0,L,L,,,,71562,,,,,Asian,
64154,2064154,,,1986.0,11.0,13.0,United States,,,,,,,,,Josh,Bell,,,,229.0,75.0,S,R,,,,64154,,,,,Caucasian,
78119,2078119,,,1989.0,7.0,15.0,South Korea,,,,,,,,,Beom-jun,Lee,,,,194.0,74.0,R,R,,,,78119,,,,,Asian,
68089,2068089,,,1999.0,8.0,6.0,South Korea,,,,,,,,,Dae-hyun,Cho,,,,179.0,72.0,R,R,,,,68089,,,,,Asian,
76435,2076435,,,1984.0,2.0,1.0,South Korea,,,,,,,,,Yeo-sang,Lee,,,,187.0,72.0,R,R,,,동국대,76435,,,,,Asian,
67609,2067609,,,1998.0,2.0,1.0,South Korea,,,,,,,,,Jeong-woo,Park,,,,150.0,69.0,L,L,,,,67609,,,,,Asian,
60764,2060764,,,1991.0,10.0,23.0,South Korea,,,,,,,,,Yong-ju,Kim,,,,161.0,69.0,L,L,,,,60764,,,,,Asian,
51761,2051761,,,1998.0,3.0,16.0,South Korea,,,,,,,,,Dong-hyun,Bae,,,,183.0,72.0,L,R,,,한일장신대,51761,,,,,Asian,
91823,2091823,,,1968.0,4.0,24.0,South Korea,,,,,,,,,Sang-jae,Kim,,,,,,R,R,,,동아대,91823,,,,,Asian,
51834,2051834,,,1992.0,4.0,8.0,United States,,,,,,,,,Artie,Lewicki,,,,194.0,75.0,R,R,,,,51834,,,,,Caucasian,
63700,2063700,,,1994.0,2.0,20.0,South Korea,,,,,,,,,Un-ho,Jang,,,,198.0,72.0,R,R,,,,63700,,,,,Asian,
73419,2073419,,,1979.0,9.0,30.0,South Korea,,,,,,,,,Moon-soo,Kim,,,,172.0,71.0,R,R,,,계명대,73419,,,,,Asian,
63593,2063593,,,1990.0,2.0,23.0,South Korea,,,,,,,,,Hong-seok,Cho,,,,172.0,69.0,L,R,,,원광대,63593,,,,,Asian,
69418,2069418,,,2000.0,9.0,2.0,South Korea,,,,,,,,,Seung-kyu,Park,,,,176.0,70.0,R,R,,,,69418,,,,,Asian,
94843,2094843,,,1971.0,5.0,19.0,South Korea,,,,,,,,,Jae-joong,Jang,,,,159.0,68.0,R,R,,,건국대,94843,,,,,Asian,
70719,2070719,,,1975.0,9.0,23.0,South Korea,,,,,,,,,Jang-baek,Kim,,,,187.0,72.0,R,R,,,연세대,70719,,,,,Asian,
78760,2078760,,,1985.0,3.0,8.0,South Korea,,,,,,,,,Dae-hoon,Jeong,,,,183.0,73.0,R,R,,,동의대,78760,,,,,Asian,
90003,2090003,,,1967.0,6.0,2.0,South Korea,,,,,,,,,Dae-jin,Koo,,,,,,R,R,,,경남대,90003,,,,,Asian,
65869,2065869,,,1992.0,6.0,7.0,South Korea,,,,,,,,,Hyun-seok,Lee,,,,198.0,69.0,R,R,,,동국대,65869,,,,,Asian,
66452,2066452,,,1983.0,1.0,5.0,Venezuela,,,,,,,,,Aarom,Baldiris,,,,198.0,73.0,R,R,,,,66452,,,,,Hispanic,
76322,2076322,,,1986.0,8.0,21.0,South Korea,,,,,,,,,Sun-jung,Yoo,,,,194.0,70.0,R,R,,,,76322,,,,,Asian,
68639,2068639,,,1999.0,9.0,6.0,South Korea,,,,,,,,,Jun-young,Ha,,,,174.0,72.0,L,L,,,,68639,,,,,Asian,
76562,2076562,,,1983.0,7.0,4.0,South Korea,,,,,,,,,Dong-chae,Hwang,,,,161.0,71.0,R,R,,,성균관대,76562,,,,,Asian,
79290,2079290,,,1989.0,10.0,8.0,South Korea,,,,,,,,,Hae-seong,Kuk,,,,209.0,71.0,S,R,,,,79290,,,,,Asian,
70723,2070723,,,1977.0,8.0,10.0,South Korea,,,,,,,,,Yoon-chae,Cho,,,,181.0,72.0,R,R,,,동국대,70723,,,,,Asian,
89440,2089440,,,1964.0,12.0,25.0,South Korea,,,,,,,,,Hae-myung,Choi,,,,165.0,68.0,R,R,,,연세대,89440,,,,,Asian,
93136,2093136,,,1970.0,10.0,10.0,South Korea,,,,,,,,,Kyung-ha,Kim,,,,,,R,R,,,고려대,93136,,,,,Asian,
85370,2085370,,,1961.0,9.0,11.0,South Korea,,,,,,,,,Hoo-seung,Yang,,,,161.0,67.0,R,R,,,인하대,85370,,,,,Asian,
78149,2078149,,,1990.0,2.0,15.0,South Korea,,,,,,,,,Jin-yong,Noh,,,,187.0,72.0,R,R,,,,78149,,,,,Asian,
63935,2063935,,,1990.0,3.0,30.0,South Korea,,,,,,,,,Seong-min,Lee,,,,203.0,73.0,R,R,,,영남대,63935,,,,,Asian,
67504,2067504,,,1998.0,3.0,18.0,South Korea,,,,,,,,,Min-su,Kim,,,,214.0,72.0,R,R,,,,67504,,,,,Asian,
68403,2068403,,,1999.0,12.0,8.0,South Korea,,,,,,,,,Yun-su,Kim,,,,209.0,73.0,R,R,,,,68403,,,,,Asian,
69802,2069802,,,1996.0,6.0,17.0,South Korea,,,,,,,,,Kyeong-mo,Choi,,,,161.0,66.0,R,R,,,홍익대,69802,,,,,Asian,
76262,2076262,,,1986.0,6.0,25.0,South Korea,,,,,,,,,Yong-muk,Won,,,,212.0,74.0,L,L,,,,76262,,,,,Asian,
63634,2063634,,,1990.0,12.0,11.0,South Korea,,,,,,,,,Hong-gu,Lee,,,,209.0,71.0,R,R,,,단국대,63634,,,,,Asian,
67419,2067419,,,1995.0,2.0,4.0,South Korea,,,,,,,,,Yong-ik,Moon,,,,205.0,70.0,R,R,,,세계사이버대,67419,,,,,Asian,
74223,2074223,,,1981.0,4.0,9.0,South Korea,,,,,,,,,Deok-han,Yong,,,,181.0,69.0,R,R,,,동아대,74223,,,,,Asian,
54561,2054561,,,2005.0,8.0,15.0,South Korea,,,,,,,,,Mi-reu,Jeon,,,,220.0,74.0,R,R,,,,54561,,,,,Asian,
75762,2075762,,,1982.0,8.0,13.0,South Korea,,,,,,,,,Hui-sang,Jeong,,,,187.0,72.0,L,R,,,단국대,75762,,,,,Asian,
64011,2064011,,,1992.0,1.0,25.0,South Korea,,,,,,,,,Seung-han,Ahn,,,,216.0,69.0,R,R,,,동아대,64011,,,,,Asian,
93862,2093862,,,1974.0,2.0,7.0,South Korea,,,,,,,,,Hee-seok,Kang,,,,172.0,74.0,R,R,,,,93862,,,,,Asian,
95650,2095650,,,1972.0,5.0,3.0,South Korea,,,,,,,,,Chul-min,Choi,,,,,,R,R,,,동아대,95650,,,,,Asian,
79617,2079617,,,1990.0,7.0,6.0,South Korea,,,,,,,,,Yong-woon,Jung,,,,194.0,73.0,L,L,,,,79617,,,,,Asian,
99607,2099607,,,1976.0,5.0,12.0,South Korea,,,,,,,,,Il-hyun,Jang,,,,174.0,70.0,L,L,,,중앙대,99607,,,,,Asian,
68110,2068110,,,1999.0,2.0,20.0,South Korea,,,,,,,,,Chan-eui,Song,,,,176.0,72.0,R,R,,,,68110,,,,,Asian,
64554,2064554,,,1992.0,1.0,7.0,South Korea,,,,,,,,,Dong-wook,Moon,,,,198.0,74.0,L,R,,,건국대,64554,,,,,Asian,
69238,2069238,,,2000.0,12.0,6.0,South Korea,,,,,,,,,Dae-han,Kim,,,,183.0,73.0,R,R,,,,69238,,,,,Asian,
69399,2069399,,,1993.0,5.0,17.0,South Korea,,,,,,,,,Jung-hyeon,Yoon,,,,220.0,73.0,L,L,,,,69399,,,,,Asian,
65733,2065733,,,1980.0,7.0,2.0,United States,,,,,,,,,Nyjer,Morgan,,,,176.0,71.0,L,L,,,,65733,,,,,Caucasian,
66305,2066305,,,1994.0,2.0,12.0,South Korea,,,,,,,,,Seung-ju,Park,,,,212.0,72.0,R,R,,,동국대,66305,,,,,Asian,
73824,2073824,,,1980.0,8.0,15.0,South Korea,,,,,,,,,Gyeong-cheol,Choi,,,,198.0,72.0,R,R,,,동의대,73824,,,,,Asian,
79760,2079760,,,1986.0,7.0,4.0,South Korea,,,,,,,,,Sung-ho,Park,,,,254.0,78.0,R,R,,,고려대,79760,,,,,Asian,
96635,2096635,,,1970.0,10.0,26.0,South Korea,,,,,,,,,O-sung,Kwon,,,,190.0,71.0,R,R,,,고려대,96635,,,,,Asian,
52769,2052769,,,1997.0,12.0,12.0,South Korea,,,,,,,,,Kwang-min,Kwon,,,,225.0,74.0,L,L,,,,52769,,,,,Asian,
88571,2088571,,,1965.0,5.0,15.0,South Korea,,,,,,,,,Jung-sik,Ko,,,,209.0,73.0,R,R,,,중앙대,88571,,,,,Asian,
51393,2051393,,,2002.0,7.0,12.0,South Korea,,,,,,,,,Jun-hyoung,Kim,,,,201.0,72.0,R,R,,,,51393,,,,,Asian,
92711,2092711,,,1970.0,1.0,26.0,South Korea,,,,,,,,,Il-hyuk,Kim,,,,,,R,R,,,인하대,92711,,,,,Asian,
61652,2061652,,,1988.0,5.0,12.0,South Korea,,,,,,,,,Jeong-u,Yoon,,,,201.0,74.0,R,R,,,원광대,61652,,,,,Asian,
72720,2072720,,,1982.0,6.0,20.0,Taiwan,,,,,,,,,Hae-jung,Yoo,,,,163.0,72.0,R,R,,,,72720,,,,,Asian,
78566,2078566,,,1989.0,2.0,15.0,South Korea,,,,,,,,,Jin-soo,Hwang,,,,181.0,71.0,S,R,,,,78566,,,,,Asian,
93621,2093621,,,1975.0,6.0,17.0,South Korea,,,,,,,,,Woo-hyuk,Lee,,,,172.0,71.0,R,R,,,,93621,,,,,Asian,
69360,2069360,,,1999.0,2.0,4.0,South Korea,,,,,,,,,Young-geon,Cho,,,,187.0,71.0,R,R,,,,69360,,,,,Asian,
71550,2071550,,,1978.0,10.0,16.0,South Korea,,,,,,,,,Jang-hyun,Kim,,,,192.0,71.0,R,R,,,연세대,71550,,,,,Asian,
62908,2062908,,,1993.0,9.0,22.0,South Korea,,,,,,,,,Yun-ho,Hwang,,,,172.0,70.0,R,R,,,,62908,,,,,Asian,
72163,2072163,,,1979.0,9.0,12.0,South Korea,,,,,,,,,Kwang-woo,Kim,,,,176.0,70.0,L,L,,,고려대,72163,,,,,Asian,
93349,2093349,,,1974.0,10.0,23.0,South Korea,,,,,,,,,Yong-dae,Jang,,,,179.0,71.0,R,R,,,,93349,,,,,Asian,
63292,2063292,,,1995.0,1.0,21.0,South Korea,,,,,,,,,So-joon,Park,,,,150.0,70.0,R,R,,,,63292,,,,,Asian,
91340,2091340,,,1972.0,3.0,22.0,South Korea,,,,,,,,,Sang-yoon,Shin,,,,,,L,L,,,,91340,,,,,Asian,
53058,2053058,,,2004.0,1.0,26.0,South Korea,,,,,,,,,Jun-young,Jung,,,,161.0,68.0,L,L,,,,53058,,,,,Asian,
98639,2098639,,,1976.0,1.0,12.0,South Korea,,,,,,,,,Byung-yeol,Eom,,,,172.0,70.0,L,L,,,중앙대,98639,,,,,Asian,
61962,2061962,,,1988.0,9.0,26.0,South Korea,,,,,,,,,Jung-hoo,Kim,,,,209.0,70.0,R,R,,,단국대,61962,,,,,Asian,
63440,2063440,,,1989.0,5.0,16.0,South Korea,,,,,,,,,Heung-ryun,Lee,,,,201.0,72.0,R,R,,,홍익대,63440,,,,,Asian,
80091,2080091,,,1963.0,10.0,22.0,South Korea,,,,,,,,,Sang-hoon,Lee,,,,198.0,70.0,R,R,,,연세대,80091,,,,,Asian,
93155,2093155,,,1974.0,5.0,5.0,South Korea,,,,,,,,,Hyuk-sub,Kim,,,,176.0,71.0,R,R,,,,93155,,,,,Asian,
74756,2074756,,,1985.0,8.0,18.0,South Korea,,,,,,,,,Noh-min,Park,,,,209.0,72.0,R,R,,,,74756,,,,,Asian,
66917,2066917,,,1997.0,12.0,29.0,South Korea,,,,,,,,,Chan-hyung,Kim,,,,183.0,72.0,R,R,,,,66917,,,,,Asian,
86712,2086712,,,1964.0,11.0,10.0,South Korea,,,,,,,,,Jong-moon,Kim,,,,,,R,R,,,,86712,,,,,Asian,
66492,2066492,,,1992.0,7.0,9.0,South Korea,,,,,,,,,Seung-hyun,Kim,,,,231.0,71.0,R,R,,,건국대,66492,,,,,Asian,
67905,2067905,,,1994.0,4.0,1.0,South Korea,,,,,,,,,Jae-hwan,Cheon,,,,183.0,71.0,R,R,,,고려대,67905,,,,,Asian,
96713,2096713,,,1973.0,4.0,10.0,South Korea,,,,,,,,,Young-hwan,Jung,,,,,,R,R,,,홍익대,96713,,,,,Asian,
63088,2063088,,,1987.0,9.0,10.0,South Korea,,,,,,,,,Jin-gon,Kim,,,,165.0,68.0,L,R,,,제주산업대,63088,,,,,Asian,
69108,2069108,,,1999.0,7.0,2.0,South Korea,,,,,,,,,Ji-kang,Lee,,,,187.0,72.0,R,R,,,,69108,,,,,Asian,
62646,2062646,,,1989.0,12.0,14.0,South Korea,,,,,,,,,Jeong-lip,Hwang,,,,187.0,72.0,L,R,,,고려대,62646,,,,,Asian,
68868,2068868,,,1999.0,3.0,25.0,South Korea,,,,,,,,,Jun-woo,Choi,,,,172.0,69.0,L,R,,,,68868,,,,,Asian,
90272,2090272,,,1967.0,10.0,8.0,South Korea,,,,,,,,,Jae-ho,Jung,,,,,,R,R,,,미국 노스드리지대,90272,,,,,Asian,
63628,2063628,,,1989.0,2.0,24.0,South Korea,,,,,,,,,Young-chang,Ko,,,,220.0,74.0,R,R,,,연세대,63628,,,,,Asian,
70643,2070643,,,1974.0,6.0,22.0,United States,,,,,,,,,Jayson,Bass,,,,,,L,L,,,,70643,,,,,Caucasian,
90002,2090002,,,1966.0,6.0,4.0,South Korea,,,,,,,,,Ki-wahn,Kim,,,,,,L,L,,,한양대,90002,,,,,Asian,
94353,2094353,,,1965.0,5.0,2.0,South Korea,,,,,,,,,Sung-joo,Lim,,,,,,L,L,,,경희대,94353,,,,,Asian,
52903,2052903,,,1998.0,12.0,21.0,South Korea,,,,,,,,,Min-suk,Cho,,,,183.0,71.0,R,R,,,원광대,52903,,,,,Asian,
70655,2070655,,,1977.0,9.0,13.0,South Korea,,,,,,,,,Hyung-jin,Yoon,,,,190.0,72.0,R,R,,,건국대,70655,,,,,Asian,
99151,2099151,,,1976.0,4.0,19.0,South Korea,,,,,,,,,Sang-tae,Kim,,,,203.0,76.0,R,R,,,중앙대,99151,,,,,Asian,
78850,2078850,,,1985.0,9.0,12.0,South Korea,,,,,,,,,Hyeon-geun,Oh,,,,187.0,72.0,L,L,,,고려대,78850,,,,,Asian,
94749,2094749,,,1972.0,2.0,28.0,South Korea,,,,,,,,,Jin-soo,Shin,,,,,,R,R,,,동아대,94749,,,,,Asian,
66508,2066508,,,1991.0,12.0,12.0,South Korea,,,,,,,,,Kyung-min,Na,,,,172.0,70.0,L,L,,,,66508,,,,,Asian,
69068,2069068,,,2000.0,9.0,19.0,South Korea,,,,,,,,,Seon-woo,Lee,,,,198.0,73.0,R,R,,,,69068,,,,,Asian,
70754,2070754,,,1976.0,3.0,16.0,South Korea,,,,,,,,,Jae-hyuk,Jang,,,,181.0,72.0,R,R,,,홍익대,70754,,,,,Asian,
73363,2073363,,,1981.0,2.0,11.0,South Korea,,,,,,,,,Do-young,Kwon,,,,183.0,70.0,R,R,,,고려대,73363,,,,,Asian,
64464,2064464,,,1995.0,9.0,11.0,South Korea,,,,,,,,,Su-min,Lee,,,,207.0,71.0,L,L,,,,64464,,,,,Asian,
50066,2050066,,,2001.0,4.0,13.0,South Korea,,,,,,,,,Hyun-woo,Kang,,,,198.0,71.0,R,R,,,,50066,,,,,Asian,
68701,2068701,,,2000.0,1.0,13.0,South Korea,,,,,,,,,Jin-wook,Kim,,,,174.0,69.0,R,R,,,,68701,,,,,Asian,
96847,2096847,,,1973.0,7.0,14.0,South Korea,,,,,,,,,Joo-eon,Park,,,,176.0,71.0,L,L,,,인하대,96847,,,,,Asian,
71661,2071661,,,1982.0,5.0,5.0,South Korea,,,,,,,,,Ju-chul,Kim,,,,176.0,72.0,R,R,,,,71661,,,,,Asian,
65506,2065506,,,1992.0,8.0,7.0,South Korea,,,,,,,,,Jae-yu,Kim,,,,181.0,71.0,L,R,,,동의대,65506,,,,,Asian,
69047,2069047,,,2000.0,2.0,12.0,South Korea,,,,,,,,,Yong-joo,Jeon,,,,192.0,74.0,L,L,,,,69047,,,,,Asian,
62748,2062748,,,1994.0,2.0,24.0,South Korea,,,,,,,,,Tae-yong,Eom,,,,187.0,72.0,R,R,,,,62748,,,,,Asian,
75706,2075706,,,1986.0,7.0,9.0,South Korea,,,,,,,,,Hyun-tae,Jeon,,,,198.0,72.0,L,R,,,,75706,,,,,Asian,
50203,2050203,,,2000.0,12.0,7.0,South Korea,,,,,,,,,Hwi,Kwon,,,,192.0,71.0,R,R,,,,50203,,,,,Asian,
65042,2065042,,,1993.0,1.0,25.0,South Korea,,,,,,,,,Seong-mu,Hong,,,,216.0,72.0,R,R,,,동의대,65042,,,,,Asian,
94747,2094747,,,1971.0,4.0,17.0,South Korea,,,,,,,,,Sung-han,Kim,,,,,,R,R,,,동아대,94747,,,,,Asian,
78650,2078650,,,1989.0,6.0,20.0,South Korea,,,,,,,,,Woo-yeop,Jeon,,,,194.0,72.0,R,R,,,,78650,,,,,Asian,
72313,2072313,,,1980.0,1.0,10.0,South Korea,,,,,,,,,Jae-ho,Cho,,,,185.0,70.0,L,L,,,성균관대,72313,,,,,Asian,
71267,2071267,,,1982.0,9.0,27.0,South Korea,,,,,,,,,Tae-gu,Kim,,,,196.0,72.0,R,R,,,,71267,,,,,Asian,
